Rk	team	categories	R1	R2	R3	R4	R5	R6	R7	R8	R9	Pts	Spk	1sts	2nds	Irons
45	DK Wien A	ESL	1st	2nd	4th	3rd	2nd	2nd	2nd	2nd	3rd	15	1416	1	5	0
46	GUU C		3rd	1st	3rd	3rd	3rd	1st	4th	1st	2nd	15	1411	3	1	0
47	UCD LawSoc A		2nd	2nd	1st	3rd	4th	2nd	1st	2nd	4th	15	1411	2	4	0
48	Warsaw C	ESL	1st	4th	1st	2nd	4th	3rd	4th	1st	1st	15	1404	4	1	0
49	Weizmann C	ESL	3rd	2nd	1st	1st	3rd	2nd	4th	1st	4th	15	1403	3	2	0
50	Imperial A		3rd	2nd	2nd	3rd	1st	4th	3rd	1st	2nd	15	1401	2	3	0
51	Bristol A		3rd	3rd	1st	2nd	4th	1st	1st	4th	2nd	15	1395	3	2	0
52	Oxford G		2nd	1st	3rd	4th	1st	2nd	2nd	4th	2nd	15	1392	2	4	0
53	TCD Hist AH		4th	2nd	1st	1st	3rd	4th	2nd	1st	3rd	15	1390	3	2	0
54	Cambridge B		1st	4th	1st	3rd	1st	4th	2nd	3rd	2nd	15	1388	3	2	0
55	Zagreb D	ESL	1st	4th	2nd	4th	2nd	3rd	2nd	2nd	1st	15	1366	2	4	0
56	Tel Aviv E&amp;R	ESL	3rd	3rd	2nd	3rd	4th	1st	2nd	2nd	1st	15	1363	2	3	0
57	Cambridge A		2nd	1st	4th	2nd	3rd	3rd	3rd	3rd	1st	14	1407	2	2	0
58	Athens A	ESL	1st	1st	3rd	2nd	2nd	4th	4th	1st	4th	14	1404	3	2	0
59	Haifa A	ESL	1st	4th	2nd	1st	3rd	3rd	3rd	2nd	3rd	14	1393	2	2	0
60	TDV Cicero A	ESL	1st	3rd	3rd	2nd	2nd	2nd	4th	3rd	2nd	14	1393	1	4	0
61	TCD Phil A		4th	1st	4th	1st	1st	4th	2nd	2nd	3rd	14	1386	3	2	0
62	DK Wien C		3rd	3rd	2nd	1st	2nd	1st	3rd	3rd	4th	14	1386	2	2	0
63	NU S	ESL	1st	2nd	4th	3rd	3rd	1st	3rd	3rd	2nd	14	1379	2	2	0
64	Technion D	ESL	3rd	2nd	3rd	2nd	4th	2nd	1st	1st	4th	14	1378	2	3	0
65	UDS A	ESL	3rd	3rd	1st	4th	2nd	3rd	4th	1st	1st	14	1377	3	1	0
66	NSDV Trivium A	ESL	2nd	3rd	2nd	3rd	2nd	3rd	1st	3rd	3rd	14	1377	1	3	0
67	St Andrews B		3rd	4th	1st	2nd	1st	4th	1st	3rd	3rd	14	1375	3	1	0
68	Sciences Po B		3rd	1st	2nd	4th	2nd	2nd	4th	3rd	1st	14	1373	2	3	0
69	Reichman A	ESL	1st	1st	4th	2nd	3rd	1st	2nd	4th	4th	14	1370	3	2	0
70	GUU B		2nd	4th	2nd	3rd	3rd	4th	1st	2nd	1st	14	1358	2	3	0
71	Tel Aviv O&amp;Y	ESL	4th	2nd	2nd	4th	2nd	2nd	1st	3rd	2nd	14	1356	1	5	0
72	KBS Ukraine A	ESL	4th	4th	1st	4th	1st	1st	3rd	3rd	1st	14	1333	4	0	0
73	Belgrade Arts A	ESL	1st	4th	3rd	1st	2nd	3rd	1st	4th	4th	13	1387	3	1	0
74	Ljubljana B	ESL	1st	3rd	2nd	2nd	4th	3rd	4th	2nd	2nd	13	1386	1	4	0
75	Bucharest B	ESL	1st	3rd	2nd	4th	4th	1st	4th	3rd	1st	13	1383	3	1	0
76	LSE B	ESL	1st	4th	3rd	3rd	1st	3rd	1st	4th	3rd	13	1380	3	0	0
77	Nottingham A		3rd	3rd	1st	1st	4th	2nd	4th	3rd	2nd	13	1377	2	2	0
78=	RRIS A		1st	4th	2nd	2nd	2nd	2nd	3rd	3rd	4th	13	1374	1	4	0
78=	TCD Phil B		2nd	2nd	2nd	3rd	4th	1st	3rd	4th	2nd	13	1374	1	4	0
80	TCD Phil C		4th	1st	3rd	1st	4th	4th	2nd	1st	3rd	13	1370	3	1	0
81	Tel Aviv B	ESL	1st	4th	4th	2nd	3rd	3rd	2nd	1st	3rd	13	1369	2	2	0
82	Weizmann B	ESL	3rd	1st	3rd	3rd	2nd	4th	3rd	3rd	1st	13	1367	2	1	0
83	BGU A	ESL	2nd	2nd	4th	1st	2nd	3rd	2nd	4th	3rd	13	1367	1	4	0
84	Athens B	ESL	3rd	1st	4th	2nd	3rd	1st	4th	4th	1st	13	1366	3	1	0
85	HUJI C	ESL	2nd	4th	3rd	1st	2nd	4th	1st	4th	2nd	13	1364	2	3	0
86	Cardiff A		3rd	2nd	3rd	4th	1st	4th	2nd	2nd	2nd	13	1361	1	4	0
87	Aberdeen A		4th	2nd	2nd	4th	1st	2nd	2nd	2nd	4th	13	1351	1	5	0
88	RRIS B		3rd	3rd	4th	1st	1st	4th	4th	1st	2nd	13	1350	3	1	0
89	OpenU D	ESL	4th	2nd	1st	4th	4th	2nd	1st	3rd	2nd	13	1339	2	3	0
90	Bristol B		3rd	4th	3rd	3rd	1st	1st	3rd	4th	1st	13	1337	3	0	0
91	OpenU C	ESL	4th	3rd	2nd	1st	1st	3rd	2nd	3rd	4th	13	1334	2	2	0
92	AUEB A	ESL	4th	3rd	4th	2nd	2nd	2nd	1st	2nd	3rd	13	1308	1	4	0
93	OpenU B	ESL	2nd	2nd	3rd	1st	4th	1st	3rd	4th	4th	12	1383	2	2	0
94	CBS A	ESL	1st	3rd	3rd	1st	4th	4th	1st	4th	3rd	12	1380	3	0	0
95	BGU B	ESL	2nd	2nd	4th	1st	1st	3rd	4th	4th	3rd	12	1376	2	2	0
96	UCL B	ESL	1st	3rd	4th	2nd	3rd	2nd	4th	4th	1st	12	1367	2	2	0
97	Weizmann D	ESL	3rd	1st	4th	2nd	3rd	4th	2nd	3rd	2nd	12	1362	1	3	0
98	EUDU MD		3rd	4th	1st	2nd	3rd	3rd	1st	4th	3rd	12	1360	2	1	0
99	Singidunum A	ESL	4th	3rd	3rd	1st	1st	4th	2nd	3rd	3rd	12	1354	2	1	0
100	TCD Hist HW		3rd	4th	1st	3rd	3rd	1st	1st	4th	4th	12	1352	3	0	0
101	Heidelberg A	ESL	4th	1st	4th	3rd	3rd	3rd	2nd	1st	3rd	12	1348	2	1	0
102	EDS A		2nd	3rd	3rd	4th	4th	2nd	4th	1st	1st	12	1347	2	2	0
103	LSE D		4th	1st	1st	4th	4th	3rd	1st	2nd	4th	12	1343	3	1	0
104	Durham A		4th	4th	2nd	2nd	1st	2nd	4th	1st	4th	12	1339	2	3	0
105	Imperial C		3rd	3rd	3rd	1st	4th	2nd	3rd	1st	4th	12	1337	2	1	0
106	GUU D		3rd	4th	2nd	2nd	2nd	4th	4th	1st	2nd	12	1337	1	4	0
107	Haifa C	ESL	4th	4th	1st	1st	4th	4th	2nd	3rd	1st	12	1314	3	1	0
108	Reichman C	ESL	4th	3rd	2nd	4th	4th	2nd	1st	2nd	2nd	12	1309	1	4	0
109	HUJI D	ESL	1st	4th	2nd	3rd	4th	2nd	3rd	4th	2nd	11	1365	1	3	0
110	PEP A	ESL	2nd	4th	3rd	3rd	2nd	3rd	2nd	2nd	4th	11	1361	0	4	0
111	Manchester A		4th	1st	4th	3rd	2nd	3rd	1st	4th	3rd	11	1355	2	1	0
112	KNU Ukraine B	ESL	2nd	4th	3rd	4th	1st	3rd	3rd	2nd	3rd	11	1345	1	2	0
113	CHU A	ESL	3rd	2nd	3rd	4th	3rd	3rd	4th	1st	2nd	11	1339	1	2	0
114	Sciences Po C	ESL	2nd	3rd	3rd	2nd	4th	4th	3rd	3rd	1st	11	1330	1	2	0
115	Reichman B	ESL	2nd	3rd	4th	2nd	4th	2nd	3rd	1st	4th	11	1329	1	3	0
116	BGU C	ESL	4th	4th	3rd	1st	4th	4th	2nd	2nd	1st	11	1322	2	2	0
117	UDS B	ESL	3rd	3rd	4th	4th	1st	1st	3rd	2nd	4th	11	1318	2	1	0
118	Bristol C		2nd	4th	3rd	4th	1st	3rd	3rd	2nd	3rd	11	1314	1	2	0
119	Colman L&amp;O	ESL	3rd	4th	4th	2nd	4th	1st	2nd	3rd	2nd	11	1291	1	3	0
120	Warsaw D	ESL	4th	1st	1st	3rd	3rd	4th	4th	4th	2nd	10	1356	2	1	0
121	Belgrade E	ESL	4th	3rd	3rd	1st	1st	2nd	4th	4th	4th	10	1345	2	1	0
122	Sciences Po D	ESL	2nd	3rd	3rd	3rd	4th	1st	3rd	4th	3rd	10	1341	1	1	0
123	Warsaw A	ESL	4th	2nd	4th	2nd	1st	4th	4th	1st	4th	10	1340	2	2	0
124	BCE A	ESL	3rd	2nd	4th	3rd	4th	1st	3rd	4th	2nd	10	1340	1	2	0
125	Weizmann E	ESL	4th	2nd	3rd	2nd	3rd	4th	1st	3rd	4th	10	1327	1	2	0
126	Split A	ESL	4th	1st	4th	2nd	2nd	4th	4th	2nd	3rd	10	1322	1	3	0
127	TDV Cicero B		2nd	2nd	4th	4th	2nd	3rd	2nd	3rd	4th	10	1314	0	4	0
128	RRIS D		4th	2nd	4th	4th	3rd	3rd	2nd	3rd	1st	10	1290	1	2	0
129	NU A	ESL	3rd	2nd	4th	4th	3rd	4th	1st	3rd	3rd	9	1335	1	1	0
130	TUT A	ESL	3rd	4th	2nd	3rd	3rd	4th	1st	3rd	4th	9	1317	1	1	0
131	Leiden A	ESL	3rd	4th	4th	3rd	1st	4th	3rd	3rd	2nd	9	1310	1	1	0
132	Colman A&amp;S	ESL	4th	3rd	3rd	2nd	3rd	3rd	4th	4th	1st	9	1307	1	1	0
133	DK Wien D	ESL	4th	3rd	3rd	3rd	2nd	2nd	4th	2nd	4th	9	1304	0	3	0
134	Reichman D	ESL	4th	3rd	4th	2nd	2nd	1st	4th	4th	3rd	9	1303	1	2	0
135	Porto A	ESL	4th	4th	2nd	4th	3rd	1st	1st	4th	4th	9	1282	2	1	0
136	BIU A	ESL	2nd	4th	1st	4th	—	—	2nd	2nd	4th	9	1060	1	3	4
137	Swing KCL (2)		—	—	—	—	—	—	1st	1st	1st	9	465	3	0	1
138	Berlin B	ESL	3rd	2nd	3rd	3rd	4th	2nd	4th	4th	3rd	8	1345	0	2	0
139	RRIS C		2nd	4th	3rd	2nd	4th	4th	3rd	4th	2nd	8	1338	0	3	0
140	Haifa B	ESL	4th	4th	4th	1st	4th	2nd	4th	3rd	2nd	8	1291	1	2	0
141	Durham B		4th	3rd	—	4th	2nd	3rd	3rd	2nd	3rd	8	1151	0	2	0
142	Swing Trivium		—	—	—	—	4th	1st	2nd	1st	4th	8	747	2	1	0
143	KCL A (Ineligible)		2nd	1st	1st	4th	—	—	—	—	—	8	652	2	1	0
144	IHU A		2nd	4th	2nd	3rd	3rd	4th	3rd	4th	4th	7	1310	0	2	0
145	Porto B	ESL	4th	4th	4th	3rd	4th	2nd	3rd	2nd	3rd	7	1306	0	2	0
146	OpenU E	ESL	4th	3rd	2nd	4th	3rd	2nd	3rd	4th	4th	7	1297	0	2	0
147	BOU B	ESL	4th	4th	2nd	3rd	2nd	3rd	—	—	—	6	864	0	2	0
148	Swing KCL (1)		—	—	—	—	1st	1st	—	—	—	6	337	2	0	0
149	ACG A	ESL	4th	1st	4th	4th	3rd	3rd	4th	4th	4th	5	1313	1	0	0
150	BIU B	ESL	4th	4th	3rd	3rd	3rd	3rd	4th	4th	3rd	5	1287	0	0	0
151	NSDV Trivium B (Ineligible)		2nd	3rd	2nd	4th	—	—	—	—	—	5	606	0	2	0
152	Swing A		4th	2nd	4th	1st	—	—	—	—	—	5	601	1	1	4
153	BOU C		3rd	3rd	4th	4th	2nd	4th	—	—	—	4	880	0	1	0
154	BOU A	ESL	4th	2nd	4th	3rd	4th	4th	—	—	—	3	844	0	1	0
155	Swing C		—	—	1st	—	—	—	—	—	—	3	151	1	0	0
156	Swing G		—	—	—	—	4th	3rd	4th	3rd	4th	2	715	0	0	2
157	Swing F		—	—	—	—	2nd	4th	—	—	—	2	295	0	1	1
158	Swing B		4th	4th	4th	4th	3rd	4th	—	—	—	1	849	0	0	1
159=	UCL C		—	—	—	—	—	—	—	—	—	—	—	0	0	0
159=	Dundee A		—	—	—	—	—	—	—	—	—	—	—	0	0	0
